"data","acompanhamento","prato_principal","guarnicao","sobremesa","sem_atendimento","quantidade_almoco","quantidade_jantar"
"2024-04-23","45,46","90,91","","92,51",0,2801,1253
"2024-04-24","45,46","70,119","54","115,56",0,1790,575
"2024-04-25","45,46","75,76","","67,56",0,2110,627
"2024-04-26","45,46","84,96","85","67,51",0,1350,359
"2024-04-29","45,46","77,78","","55,51",0,1720,601
"2024-04-30","45,46","122,62","","92,81",0,3052,1406
"2024-05-02","45,46","86,96","88","115,51",0,1951,673
"2024-05-03","45,46","65,66","","59,51",0,1355,410
"2024-05-06","45,46","47,73","49","115,60",0,2254,782
"2024-05-07","45,46","123,124","88","55,51",0,2540,930
"2024-05-08","45,46","94,95","","71,56",0,1936,611
"2024-05-09","45,46","90,91","","92,51",0,2856,1141
"2024-05-10","45,46","84,103","85","55,51",0,1206,302
"2024-05-13","45,46","52,53","54","115,60",0,2113,833
"2024-05-14","45,46","100,101","104","79,56",0,2009,658
"2024-05-15","45,46","61,62","63","115,125",0,2796,1054
"2024-05-16","45,46","123,124","83","55,125",0,2434,905
"2024-05-17","45,46","65,66","","71,60",0,1300,329
"2024-05-20","45,46","80,53","54","115,51",0,2043,852
"2024-05-21","45,46","90,91","","92,56",0,2367,1005
"2024-05-22","45,46","72,48","120","79,51",0,1660,463
"2024-05-23","45,46","123,124","88","55,60",0,2121,607
"2024-05-24","45,46","72,96","88","115,60",0,1012,223
"2024-06-14","45,46","84,96","85","64,51",0,539,9
"2024-06-17","45,46","77,78","","115,60",0,1820,463
"2024-06-18","45,46","100,101","89","55,56",0,2094,710
"2024-06-19","45,46","52,53","54","79,51",0,2738,938
"2024-06-20","45,46","123,124","83","59,51",0,2436,852
"2024-06-21","45,46","65,66","","64,60",0,1800,526
"2024-06-24","45,46","86,73","82","79,51",0,2475,801
"2024-06-25","45,46","61,62","63","59,56",0,3005,1350
"2024-06-26","45,46","70,48","114","67,51",0,2275,810
"2024-06-27","45,46","75,76","","59,51",0,2566,801
"2024-06-28","45,46","84,96","85","55,51",0,1550,449
"2024-07-01","45,46","47,119","49","55,51",0,2639,997
"2024-07-02","45,46","72,48","120","79,60",0,2471,873
"2024-07-03","45,126","123,124","74","59,51",0,2670,984
"2024-07-04","45,46","94,95","","79,60",0,2444,832
"2024-07-05","45,46","84,96","85","59,51",0,1534,456
"2024-07-08","45,46","80,53","54","79,60",0,2649,1030
"2024-07-09","45,46","90,91","","92,56",0,2794,1302
"2024-07-10","45,46","70,48","120","71,51",0,1942,678
"2024-07-11","45,46","75,76","","71,60",0,2272,794
"2024-07-12","45,46","84,96","93","79,51",0,1523,496
"2024-07-15","45,46","72,73","","92,60",0,2336,829
"2024-07-16","45,46","94,95","","59,127",0,2560,1088
"2024-07-17","45,126","123,124","74","115,51",0,2743,1035
"2024-07-18","45,46","47,119","128","64,51",0,2655,957
"2024-07-19","45,46","65,66","","59,56",0,1629,532
"2024-07-22","45,46","86,73","128","55,60",0,2400,851
"2024-07-23","45,46","129,101","63","67,56",0,3119,1412
"2024-07-24","45,46","130,48","89","59,56",0,2211,726
"2024-07-25","45,46","47,119","49","79,51",0,2735,969
"2024-07-26","45,46","131,48","","64,60",0,1750,533
"2024-07-29","45,46","132,53","54","115,60",0,2654,1107
"2024-07-30","45,46","90,91","","92,60",0,3050,1515
"2024-07-31","45,46","130,48","128","59,56",0,2246,718
"2024-08-01","45,46","75,76","","79,60",0,1118,256
"2024-08-02","45,46","133,48","85","55,51",0,1619,450
"2024-08-05","45,46","134,96","82","79,51",0,2676,937
"2024-08-06","45,46","137,139","74","55,56",0,2366,779
"2024-08-07","45,46","130,48","74","59,60",0,2228,671
"2024-08-08","45,46","129,62","63","59,55,60",0,3016,1220
"2024-08-09","45,126","140,78","","64,51",0,1642,392
"2024-08-12","45,46","134,96","49","64,51",0,2539,896
"2024-08-13","45,46","130,48","120","79,60",0,2163,772
"2024-08-14","45,46","80,53","54","59,56",0,2815,1210
"2024-08-15","45,46","90,91","","92,51",0,2883,1440
"2024-08-16","45,126","131,66","","67,60",0,1710,494
"2024-08-19","45,46","86,107","128","55,51",0,2339,825
"2024-08-20","45,46","75,76","","64,60",0,2437,805
"2024-08-21","45,46","70,48","120","79,51",0,2160,684
"2024-08-22","45,46","129,62","63","59,51",0,3025,1418
"2024-08-23","45,46","140,78","","67,60",0,1656,418
"2024-08-26","45,46","132,53","54","67,51",0,2549,1061
"2024-08-27","45,46","90,91","","92,56",0,2988,1512
"2024-08-28","45,46","137,87","83","59,51",0,2227,772
"2024-08-29","45,46","134,135","141","79,56",0,2759,951
"2024-08-30","45,46","131,66","","55,60",0,1720,456
"2024-09-02","45,46","142,96","88","64,51",0,2269,810
"2024-09-03","45,46","94,95","","67,60",0,2373,823
"2024-09-04","45,46","130,48","97","79,56",0,2169,714
"2024-09-05","45,46","129,62","63","59,51",0,2968,1318
"2024-09-06","45,46","77,78","","67,51",0,1438,383
"2024-09-09","45,46","132,53","54","67,51",0,2343,984
"2024-09-10","45,46","75,76","","67,60",0,2226,762
"2024-09-11","45,46","90,91","","92,51",0,2759,1347
"2024-09-12","45,46","137,73","82","79,56",0,2195,706
"2024-09-13","45,46","133,87","85","67,51",0,1567,434
"2024-09-16","45,46","132,53","54","115,51",0,2342,981
"2024-09-17","45,46","100,101","143","59,56",0,2434,921
"2024-09-18","45,46","142,135","74","79,51",0,2202,743
"2024-09-19","45,46","144,142,62","","92,56",0,2788,1189
"2024-09-20","45,46","140,78","","55,51",0,1511,352
"2024-09-23","45,46","134,96","141","67,51",0,2400,923
"2024-09-24","45,46","145,58","","146,56",0,2027,706
"2024-09-25","45,46","52,53","54","64,51",0,2406,927
"2024-09-26","45,46","100,131,101","143","59,56",0,2289,715
"2024-09-27","45,46","131,66","","79,51",0,1644,417
"2024-09-30","45,46","142,138","","92,51",0,1964,665
"2024-10-01","45,46","94,95","","59,56",0,2003,659
"2024-10-02","45,46","100,101","143","79,51",0,2014,676
"2024-10-03","45,46","145,58","","115,56",0,1704,482
"2024-10-04","45,46","133,136","92","67,56",0,1511,366
"2024-10-07","45,46","132,53","54","67,51",0,1601,603
"2024-10-08","45,46","100,101","74","115,56",0,1482,476
"2024-10-09","45,46","75,76","","59,51",0,1304,317
"2024-10-10","45,46","90,91","","92,56",0,1923,600
"2024-10-11","45,46","140,78","","79,60",0,743,176
"2024-10-15","45,46","142,73","","92,60",0,705,213
"2024-10-16","45,46","131,58","","115,56",0,669,176
"2024-10-17","45,46","80,53","54","115,147",0,968,323
"2024-10-18","45,46","133,87","85","115,60",0,673,133
"2024-10-21","45,46","140,78","","67,147",0,2123,642
"2024-10-22","45,46","142,73","","92,56",0,2348,579
"2024-10-23","45,46","130,48","74","59,147",0,1814,610
"2024-10-24","45,46","75,76","","79,56",0,2286,686
"2024-10-25","45,46","148,149","","67,56",0,1348,354
"2024-10-28","45,46","140,78","","79,150",0,2199,686
"2024-10-29","45,46","75,76","","55,56",0,2421,752
"2024-10-30","45,46","122,62","","59,151",0,3286,1601
"2024-10-31","45,46","130,48","104","67,56",0,1963,570
"2024-11-01","45,46","133,87","85","79,56",0,1584,353
"2024-11-04","45,46","142,135","","92,147",0,2206,697
"2024-11-05","45,46","94,95","","55,56",0,2233,711
"2024-11-06","45,46","100,101","82","79,56",0,2385,583
"2024-11-07","45,46","145,58","","64,56",0,1977,440
"2024-11-08","45,46","140,78","","79,56",0,1410,371
"2024-11-11","45,46","80,53","54","59,147",0,2660,1140
"2024-11-12","45,46","90,91","","92,56",0,2966,1272
"2024-11-13","45,46","130,48","97","79,56",0,2046,702
